name,year,value,lastValue
Austria,1960,432981,432981
Austria,1961,224488.5,224488.5
Austria,1962,15996,15996
Austria,1963,22877,22877
Austria,1964,29758,29758
Austria,1965,36639,36639
Austria,1966,43520,43520
Austria,1967,50401,50401
Austria,1968,56721,56721
Austria,1969,63041,63041
Austria,1970,69361,69361
Austria,1971,75681,75681
Austria,1972,82001,82001
Austria,1973,66701.2,66701.2
Austria,1974,51401.4,51401.4
Austria,1975,36101.6,36101.6
Austria,1976,20801.8,20801.8
Austria,1977,5502,5502
Austria,1978,8002,8002
Austria,1979,10502,10502
Austria,1980,13002,13002
Austria,1981,15502,15502
Austria,1982,18002,18002
Austria,1983,36601.4,36601.4
Austria,1984,55200.8,55200.8
Austria,1985,73800.2,73800.2
Austria,1986,92399.6,92399.6
Austria,1987,110999,110999
Austria,1988,134367.4,134367.4
Austria,1989,157735.8,157735.8
Austria,1990,181104.2,181104.2
Austria,1991,204472.6,204472.6
Austria,1992,227841,227841
Austria,1993,195289.2,195289.2
Austria,1994,162737.4,162737.4
Austria,1995,130185.6,130185.6
Austria,1996,97633.8,97633.8
Austria,1997,65082,65082
Austria,1998,87689,87689
Austria,1999,110296,110296
Austria,2000,132903,132903
Austria,2001,155510,155510
Austria,2002,178117,178117
Austria,2003,173246.2,173246.2
Austria,2004,168375.4,168375.4
Austria,2005,163504.6,163504.6
Austria,2006,158633.8,158633.8
Austria,2007,153763,153763
Austria,2008,176444.8,176444.8
Austria,2009,199126.6,199126.6
Austria,2010,221808.4,221808.4
Austria,2011,244490.2,244490.2
Austria,2012,267172,267172
Austria,2013,233737.4,233737.4
Austria,2014,200302.8,200302.8
Austria,2015,166868.2,166868.2
Austria,2016,133433.6,133433.6
Austria,2017,99999,99999
Austria,2018,74999.25,74999.25
Belgium,1960,29152,29152
Belgium,1961,33728,33728
Belgium,1962,38304,38304
Belgium,1963,40100.8,40100.8
Belgium,1964,41897.6,41897.6
Belgium,1965,43694.4,43694.4
Belgium,1966,45491.2,45491.2
Belgium,1967,47288,47288
Belgium,1968,52026.4,52026.4
Belgium,1969,56764.8,56764.8
Belgium,1970,61503.2,61503.2
Belgium,1971,66241.6,66241.6
Belgium,1972,70980,70980
Belgium,1973,71488.6,71488.6
Belgium,1974,71997.2,71997.2
