name,year,value,lastValue
Autriche,1960,432981,432981
Autriche,1961,224488.5,432981
Autriche,1962,15996,224488.5
Autriche,1963,22877,15996
Autriche,1964,29758,22877
Autriche,1965,36639,29758
Autriche,1966,43520,36639
Autriche,1967,50401,43520
Autriche,1968,56721,50401
Autriche,1969,63041,56721
Autriche,1970,69361,63041
Autriche,1971,75681,69361
Autriche,1972,82001,75681
Autriche,1973,66701.2,82001
Autriche,1974,51401.4,66701.2
Autriche,1975,36101.6,51401.4
Autriche,1976,20801.8,36101.6
Autriche,1977,5502,20801.8
Autriche,1978,8002,5502
Autriche,1979,10502,8002
Autriche,1980,13002,10502
Autriche,1981,15502,13002
Autriche,1982,18002,15502
Autriche,1983,36601.4,18002
Autriche,1984,55200.8,36601.4
Autriche,1985,73800.2,55200.8
Autriche,1986,92399.6,73800.2
Autriche,1987,110999,92399.6
Autriche,1988,134367.4,110999
Autriche,1989,157735.8,134367.4
Autriche,1990,181104.2,157735.8
Autriche,1991,204472.6,181104.2
Autriche,1992,227841,204472.6
Autriche,1993,195289.2,227841
Autriche,1994,162737.4,195289.2
Autriche,1995,130185.6,162737.4
Autriche,1996,97633.8,130185.6
Autriche,1997,65082,97633.8
Autriche,1998,87689,65082
Autriche,1999,110296,87689
Autriche,2000,132903,110296
Autriche,2001,155510,132903
Autriche,2002,178117,155510
Autriche,2003,173246.2,178117
Autriche,2004,168375.4,173246.2
Autriche,2005,163504.6,168375.4
Autriche,2006,158633.8,163504.6
Autriche,2007,153763,158633.8
Autriche,2008,176444.8,153763
Autriche,2009,199126.6,176444.8
Autriche,2010,221808.4,199126.6
Autriche,2011,244490.2,221808.4
Autriche,2012,267172,244490.2
Autriche,2013,233737.4,267172
Autriche,2014,200302.8,233737.4
Autriche,2015,166868.2,200302.8
Autriche,2016,133433.6,166868.2
Autriche,2017,99999,133433.6
Autriche,2018,74999.25,99999
Belgique,1960,29152,29152
Belgique,1961,33728,29152
Belgique,1962,38304,33728
Belgique,1963,40100.8,38304
Belgique,1964,41897.6,40100.8
Belgique,1965,43694.4,41897.6
Belgique,1966,45491.2,43694.4
Belgique,1967,47288,45491.2
Belgique,1968,52026.4,47288
Belgique,1969,56764.8,52026.4
Belgique,1970,61503.2,56764.8
Belgique,1971,66241.6,61503.2
Belgique,1972,70980,66241.6
Belgique,1973,71488.6,70980
Belgique,1974,71997.2,71488.6
Belgique,1975,72505.8,71997.2
Belgique,1976,73014.4,72505.8
Belgique,1977,73523,73014.4
Belgique,1978,62514,73523
Belgique,1979,51505,62514
Belgique,1980,40496,51505
Belgique,1981,29487,40496
Belgique,1982,18478,29487
Belgique,1983,23293.6,18478
Belgique,1984,28109.2,23293.6
Belgique,1985,32924.8,28109.2
Belgique,1986,37740.4,32924.8
Belgique,1987,42556,37740.4
Belgique,1988,55434.2,42556
Belgique,1989,68312.4,55434.2
Belgique,1990,81190.6,68312.4
Belgique,1991,94068.8,81190.6
Belgique,1992,106947,94068.8
Belgique,1993,95731.6,106947
Belgique,1994,84516.2,95731.6
Belgique,1995,73300.8,84516.2
Belgique,1996,62085.4,73300.8
Belgique,1997,50870,62085.4
Belgique,1998,84608,50870
Belgique,1999,118346,84608
Belgique,2000,152084,118346
Belgique,2001,185822,152084
Belgique,2002,219560,185822
Belgique,2003,234502,219560
Belgique,2004,249444,234502
Belgique,2005,264386,249444
Belgique,2006,279328,264386
Belgique,2007,294270,279328
Belgique,2008,287150.4,294270
Belgique,2009,280030.8,287150.4
Belgique,2010,272911.2,280030.8
Belgique,2011,265791.6,272911.2
Belgique,2012,258672,265791.6
Belgique,2013,254937.6,258672
Belgique,2014,251203.2,254937.6
Belgique,2015,247468.8,251203.2
Belgique,2016,243734.4,247468.8
Belgique,2017,240000,243734.4
Belgique,2018,173926.25,240000
Bulgarie,1960,-1175719,-1175719
Bulgarie,1961,-588578,-1175719
Bulgarie,1962,-1437,-588578
Bulgarie,1963,-2434.2,-1437
