name,year,value,lastValue
Austria,1951,282000,282000
Austria,1952,238200,282000
Austria,1953,215200,238200
Austria,1954,150000,215200
Austria,1955,110000,150000
Austria,1956,140000,110000
Austria,1957,68000,140000
Austria,1958,53000,68000
Austria,1959,44000,53000
Austria,1960,39000,44000
Austria,1961,34000,39000
Austria,1962,30000,34000
Austria,1963,27000,30000
Austria,1964,25000,27000
Austria,1965,25000,25000
Austria,1966,24500,25000
Austria,1967,24000,24500
Austria,1968,24000,24000
Austria,1969,25000,24000
Austria,1970,25300,25000
Austria,1971,25000,25300
Austria,1972,25000,25000
Austria,1973,25000,25000
Austria,1974,25000,25000
Austria,1975,20000,25000
Austria,1976,25000,20000
Austria,1977,20000,25000
Austria,1978,20000,20000
Austria,1979,25000,20000
Austria,1980,15525,25000
Austria,1981,17899,15525
Austria,1982,34963,17899
Austria,1983,37298,34963
Austria,1984,39099,37298
Austria,1985,40534,39099
Austria,1986,41176,40534
Austria,1987,41228,41176
Austria,1988,39830,41228
Austria,1989,39405,39830
Austria,1990,34938,39405
Austria,1991,34508,34938
Austria,1992,62355,34508
Austria,1993,57687,62355
Austria,1994,40703,57687
Austria,1995,34385,40703
Austria,1996,89116,34385
Austria,1997,84394,89116
Austria,1998,80300,84394
Austria,1999,82081,80300
Austria,2000,25436,82081
Austria,2001,29576,25436
Austria,2002,43623,29576
Austria,2003,49672,43623
Austria,2004,56057,49672
Austria,2005,61940,56057
Austria,2006,67881,61940
Austria,2007,69214,67881
Austria,2008,74250,69214
Austria,2009,71052,74250
Austria,2010,68255,71052
Austria,2011,71553,68255
Austria,2012,74159,71553
Austria,2013,78343,74159
Austria,2014,91647,78343
Austria,2015,152291,91647
Austria,2016,169659,152291
Austria,2017,171466,169659
Belgium,1951,55000,53500
Belgium,1952,53500,55000
Belgium,1953,53000,53500
Belgium,1954,53000,53000
Belgium,1955,53000,53000
Belgium,1956,65000,53000
Belgium,1957,69000,65000
Belgium,1958,63000,69000
Belgium,1959,58000,63000
Belgium,1960,55000,58000
Belgium,1961,53000,55000
Belgium,1962,51000,53000
Belgium,1963,50000,51000
Belgium,1964,47000,50000
Belgium,1965,47000,47000
Belgium,1966,40000,47000
Belgium,1967,34000,40000
Belgium,1968,33000,34000
Belgium,1969,30000,33000
Belgium,1970,31500,30000
Belgium,1971,29000,31500
Belgium,1972,29000,29000
Belgium,1973,20000,29000
Belgium,1974,11100,20000
Belgium,1975,16788,11100
Belgium,1976,17000,16788
Belgium,1977,17000,17000
Belgium,1978,17000,17000
Belgium,1979,32000,17000
Belgium,1980,33000,32000
Belgium,1981,35000,33000
Belgium,1982,21000,35000
Belgium,1983,35000,21000
Belgium,1984,36400,35000
Belgium,1985,36600,36400
Belgium,1986,35900,36600
Belgium,1987,22000,35900
Belgium,1988,23117,22000
Belgium,1989,25531,23117
Belgium,1990,25911,25531
Belgium,1991,24071,25911
Belgium,1992,24292,24071
Belgium,1993,24908,24292
Belgium,1994,19497,24908
Belgium,1995,31691,19497
Belgium,1996,36060,31691
Belgium,1997,36060,36060
Belgium,1998,15509,36060
Belgium,1999,16760,15509
Belgium,2000,65072,16760
Belgium,2001,12929,65072
Belgium,2002,32605,12929
Belgium,2003,35199,32605
Belgium,2004,36392,35199
Belgium,2005,34195,36392
Belgium,2006,32544,34195
Belgium,2007,32822,32544
Belgium,2008,31289,32822
Belgium,2009,33778,31289
Belgium,2010,36180,33778
Belgium,2011,41408,36180
Belgium,2012,37060,41408
Belgium,2013,37112,37060
Belgium,2014,39130,37112
Belgium,2015,71323,39130
Belgium,2016,66279,71323
Belgium,2017,60888,66279
Bulgaria,1992,218,450
