name,year,value,lastValue
Autriche,1951,282000,282000
Autriche,1952,238200,282000
Autriche,1953,215200,238200
Autriche,1954,150000,215200
Autriche,1955,110000,150000
Autriche,1956,140000,110000
Autriche,1957,68000,140000
Autriche,1958,53000,68000
Autriche,1959,44000,53000
Autriche,1960,39000,44000
Autriche,1961,34000,39000
Autriche,1962,30000,34000
Autriche,1963,27000,30000
Autriche,1964,25000,27000
Autriche,1965,25000,25000
Autriche,1966,24500,25000
Autriche,1967,24000,24500
Autriche,1968,24000,24000
Autriche,1969,25000,24000
Autriche,1970,25300,25000
Autriche,1971,25000,25300
Autriche,1972,25000,25000
Autriche,1973,25000,25000
Autriche,1974,25000,25000
Autriche,1975,20000,25000
Autriche,1976,25000,20000
Autriche,1977,20000,25000
Autriche,1978,20000,20000
Autriche,1979,25000,20000
Autriche,1980,15525,25000
Autriche,1981,17899,15525
Autriche,1982,34963,17899
Autriche,1983,37298,34963
Autriche,1984,39099,37298
Autriche,1985,40534,39099
Autriche,1986,41176,40534
Autriche,1987,41228,41176
Autriche,1988,39830,41228
Autriche,1989,39405,39830
Autriche,1990,34938,39405
Autriche,1991,34508,34938
Autriche,1992,62355,34508
Autriche,1993,57687,62355
Autriche,1994,40703,57687
Autriche,1995,34385,40703
Autriche,1996,89116,34385
Autriche,1997,84394,89116
Autriche,1998,80300,84394
Autriche,1999,82081,80300
Autriche,2000,25436,82081
Autriche,2001,29576,25436
Autriche,2002,43623,29576
Autriche,2003,49672,43623
Autriche,2004,56057,49672
Autriche,2005,61940,56057
Autriche,2006,67881,61940
Autriche,2007,69214,67881
Autriche,2008,74250,69214
Autriche,2009,71052,74250
Autriche,2010,68255,71052
Autriche,2011,71553,68255
Autriche,2012,74159,71553
Autriche,2013,78343,74159
Autriche,2014,91647,78343
Autriche,2015,152291,91647
Autriche,2016,169659,152291
Autriche,2017,171466,169659
Belgique,1951,55000,53500
Belgique,1952,53500,55000
Belgique,1953,53000,53500
Belgique,1954,53000,53000
Belgique,1955,53000,53000
Belgique,1956,65000,53000
Belgique,1957,69000,65000
Belgique,1958,63000,69000
Belgique,1959,58000,63000
Belgique,1960,55000,58000
Belgique,1961,53000,55000
Belgique,1962,51000,53000
Belgique,1963,50000,51000
Belgique,1964,47000,50000
Belgique,1965,47000,47000
Belgique,1966,40000,47000
Belgique,1967,34000,40000
Belgique,1968,33000,34000
Belgique,1969,30000,33000
Belgique,1970,31500,30000
Belgique,1971,29000,31500
Belgique,1972,29000,29000
Belgique,1973,20000,29000
Belgique,1974,11100,20000
Belgique,1975,16788,11100
Belgique,1976,17000,16788
Belgique,1977,17000,17000
Belgique,1978,17000,17000
Belgique,1979,32000,17000
Belgique,1980,33000,32000
Belgique,1981,35000,33000
Belgique,1982,21000,35000
Belgique,1983,35000,21000
Belgique,1984,36400,35000
Belgique,1985,36600,36400
Belgique,1986,35900,36600
Belgique,1987,22000,35900
Belgique,1988,23117,22000
Belgique,1989,25531,23117
Belgique,1990,25911,25531
Belgique,1991,24071,25911
Belgique,1992,24292,24071
Belgique,1993,24908,24292
Belgique,1994,19497,24908
Belgique,1995,31691,19497
Belgique,1996,36060,31691
Belgique,1997,36060,36060
Belgique,1998,15509,36060
Belgique,1999,16760,15509
Belgique,2000,65072,16760
Belgique,2001,12929,65072
Belgique,2002,32605,12929
Belgique,2003,35199,32605
Belgique,2004,36392,35199
Belgique,2005,34195,36392
Belgique,2006,32544,34195
Belgique,2007,32822,32544
Belgique,2008,31289,32822
Belgique,2009,33778,31289
Belgique,2010,36180,33778
Belgique,2011,41408,36180
Belgique,2012,37060,41408
Belgique,2013,37112,37060
Belgique,2014,39130,37112
Belgique,2015,71323,39130
Belgique,2016,66279,71323
Belgique,2017,60888,66279
Bulgarie,1992,218,450
Bulgarie,1993,450,218
Bulgarie,1994,1060,450
Bulgarie,1995,1320,1060
Bulgarie,1996,1430,1320
Bulgarie,1997,390,1430
Bulgarie,1998,240,390
Bulgarie,1999,547,240
Bulgarie,2000,2790,547
Bulgarie,2001,4549,2790
Bulgarie,2002,4798,4549
Bulgarie,2003,4824,4798
Bulgarie,2004,5604,4824
Bulgarie,2005,5218,5604
Bulgarie,2006,5364,5218
Bulgarie,2007,5848,5364
Bulgarie,2008,6208,5848
Bulgarie,2009,6589,6208
Bulgarie,2010,6942,6589
Bulgarie,2011,7072,6942
Bulgarie,2012,3558,7072
Bulgarie,2013,8880,3558
Bulgarie,2014,17797,8880
Bulgarie,2015,26056,17797
Bulgarie,2016,33856,26056
Bulgarie,2017,21818,33856
Croatie,1992,403000,287000
Croatie,1993,287000,403000
Croatie,1994,183600,287000
Croatie,1995,198647,183600
Croatie,1996,165395,198647
Croatie,1997,68863,165395
Croatie,1998,29027,68863
Croatie,1999,28374,29027
Croatie,2000,22456,28374
Croatie,2001,21951,22456
Croatie,2002,8444,21951
Croatie,2003,4444,8444
Croatie,2004,3696,4444
Croatie,2005,2935,3696
Croatie,2006,2453,2935
Croatie,2007,1696,2453
Croatie,2008,1659,1696
Croatie,2009,1277,1659
Croatie,2010,1017,1277
Croatie,2011,1059,1017
Croatie,2012,1069,1059
Croatie,2013,894,1069
Croatie,2014,845,894
Croatie,2015,575,845
Croatie,2016,861,575
Croatie,2017,832,861
Chypre,1968,200,200
Chypre,1969,200,200
Chypre,1970,200,200
Chypre,1971,200,200
Chypre,1972,200,200
Chypre,1982,0,200
Chypre,1988,60,0
Chypre,1990,33,60
Chypre,1991,60,33
Chypre,1992,80,60
Chypre,1993,82,80
Chypre,1994,66,82
Chypre,1995,55,66
Chypre,1996,49,55
Chypre,1997,43,49
Chypre,1998,84,43
Chypre,1999,117,84
Chypre,2000,575,117
Chypre,2001,1943,575
Chypre,2002,2216,1943
Chypre,2003,5431,2216
Chypre,2004,10559,5431
Chypre,2005,13768,10559
Chypre,2006,13432,13768
Chypre,2007,13086,13432
Chypre,2008,9479,13086
Chypre,2009,7903,9479
Chypre,2010,8790,7903
Chypre,2011,6562,8790
Chypre,2012,6267,6562
Chypre,2013,6534,6267
Chypre,2014,7593,6534
Chypre,2015,9319,7593
Chypre,2016,11572,9319
Chypre,2017,14948,11572
Rep. Tchèque,1991,691,9399
Rep. Tchèque,1992,9399,691
Rep. Tchèque,1993,188,9399
Rep. Tchèque,1994,1186,188
Rep. Tchèque,1995,2655,1186
Rep. Tchèque,1996,2266,2655
Rep. Tchèque,1997,1731,2266
Rep. Tchèque,1998,1805,1731
Rep. Tchèque,1999,1232,1805
Rep. Tchèque,2000,6217,1232
Rep. Tchèque,2001,12805,6217
Rep. Tchèque,2002,8953,12805
Rep. Tchèque,2003,5262,8953
Rep. Tchèque,2004,2742,5262
Rep. Tchèque,2005,2726,2742
Rep. Tchèque,2006,4763,2726
Rep. Tchèque,2007,4223,4763
Rep. Tchèque,2008,3558,4223
Rep. Tchèque,2009,3588,3558
Rep. Tchèque,2010,3514,3588
Rep. Tchèque,2011,3358,3514
Rep. Tchèque,2012,3379,3358
Rep. Tchèque,2013,3296,3379
Rep. Tchèque,2014,3617,3296
Rep. Tchèque,2015,4303,3617
Rep. Tchèque,2016,4419,4303
Rep. Tchèque,2017,4359,4419
Danemark,1951,2000,1800
Danemark,1952,1800,2000
Danemark,1953,1600,1800
Danemark,1954,1400,1600
Danemark,1955,1300,1400
Danemark,1956,2500,1300
Danemark,1957,2500,2500
Danemark,1958,2500,2500
Danemark,1959,2400,2500
Danemark,1960,2300,2400
Danemark,1961,2200,2300
Danemark,1962,2200,2200
Danemark,1963,2200,2200
Danemark,1970,2000,2200
Danemark,1971,4400,2000
Danemark,1972,3687,4400
Danemark,1973,3687,3687
Danemark,1974,2900,3687
Danemark,1975,2125,2900
Danemark,1976,2100,2125
Danemark,1977,1764,2100
Danemark,1978,1800,1764
Danemark,1979,1800,1800
Danemark,1980,1800,1800
Danemark,1981,1800,1800
Danemark,1982,1800,1800
Danemark,1983,3600,1800
Danemark,1984,8500,3600
Danemark,1985,8500,8500
Danemark,1986,23000,8500
Danemark,1987,30000,23000
Danemark,1988,27310,30000
Danemark,1989,30747,27310
Danemark,1990,32906,30747
Danemark,1991,36110,32906
Danemark,1992,39118,36110
Danemark,1993,44564,39118
Danemark,1994,49558,44564
Danemark,1995,64844,49558
Danemark,1996,66373,64844
Danemark,1997,68122,66373
Danemark,1998,69015,68122
Danemark,1999,69006,69015
Danemark,2000,77190,69006
Danemark,2001,78863,77190
Danemark,2002,78216,78863
Danemark,2003,71889,78216
Danemark,2004,66149,71889
Danemark,2005,44884,66149
Danemark,2006,37105,44884
Danemark,2007,27348,37105
Danemark,2008,23928,27348
Danemark,2009,21548,23928
Danemark,2010,21285,21548
Danemark,2011,14826,21285
Danemark,2012,13377,14826
Danemark,2013,14809,13377
Danemark,2014,22082,14809
Danemark,2015,30274,22082
Danemark,2016,39846,30274
Danemark,2017,39799,39846
Estonie,2000,22,31
Estonie,2001,31,22
Estonie,2002,17,31
Estonie,2003,15,17
Estonie,2004,20,15
Estonie,2005,15,20
Estonie,2006,13,15
Estonie,2007,24,13
Estonie,2008,29,24
Estonie,2009,43,29
Estonie,2010,49,43
Estonie,2011,59,49
Estonie,2012,70,59
Estonie,2013,95,70
Estonie,2014,185,95
Estonie,2015,254,185
Estonie,2016,365,254
Estonie,2017,406,365
Finlande,1984,500,500
Finlande,1985,500,500
Finlande,1986,500,500
Finlande,1987,800,500
Finlande,1988,1065,800
Finlande,1989,2000,1065
Finlande,1990,2348,2000
Finlande,1991,4561,2348
Finlande,1992,5950,4561
Finlande,1993,8511,5950
Finlande,1994,9511,8511
Finlande,1995,10191,9511
Finlande,1996,11382,10191
Finlande,1997,12017,11382
Finlande,1998,12290,12017
Finlande,1999,12869,12290
Finlande,2000,14576,12869
Finlande,2001,12728,14576
Finlande,2002,12490,12728
Finlande,2003,10843,12490
Finlande,2004,11325,10843
Finlande,2005,11809,11325
Finlande,2006,12960,11809
Finlande,2007,6925,12960
Finlande,2008,9359,6925
Finlande,2009,11231,9359
Finlande,2010,10821,11231
Finlande,2011,11458,10821
Finlande,2012,11800,11458
Finlande,2013,12783,11800
Finlande,2014,13552,12783
Finlande,2015,37069,13552
Finlande,2016,24001,37069
Finlande,2017,23793,24001
France,1951,290000,280000
France,1952,280000,290000
France,1953,270000,280000
France,1954,263000,270000
France,1955,345415,263000
France,1956,363290,345415
France,1957,389480,363290
France,1958,381152,389480
France,1959,387201,381152
France,1960,245935,387201
France,1961,253375,245935
France,1962,259740,253375
France,1963,174057,259740
France,1964,175861,174057
France,1965,177665,175861
France,1966,179468,177665
France,1967,177200,179468
France,1968,176736,177200
France,1969,175242,176736
France,1970,158543,175242
France,1971,141844,158543
France,1972,98900,141844
France,1973,101830,98900
France,1974,105538,101830
France,1975,109882,105538
France,1976,114634,109882
France,1977,119413,114634
France,1978,126229,119413
France,1979,119489,126229
France,1980,121958,119489
France,1981,125597,121958
France,1982,152223,125597
France,1983,164113,152223
France,1984,169863,164113
France,1985,174213,169863
France,1986,180258,174213
France,1987,179306,180258
France,1988,183946,179306
France,1989,180258,183946
France,1990,193000,180258
France,1991,174756,193000
France,1992,156512,174756
France,1993,166269,156512
France,1994,195288,166269
France,1995,155245,195288
France,1996,151329,155245
France,1997,146558,151329
France,1998,140215,146558
France,1999,129722,140215
France,2000,132508,129722
France,2001,166152,132508
France,2002,166770,166152
France,2003,153738,166770
France,2004,199198,153738
France,2005,178595,199198
France,2006,183005,178595
France,2007,184064,183005
France,2008,202702,184064
France,2009,236881,202702
France,2010,249263,236881
France,2011,259447,249263
France,2012,267750,259447
France,2013,284219,267750
France,2014,308126,284219
France,2015,336183,308126
France,2016,367317,336183
France,2017,400228,367317
Grèce,1951,18000,19000
Grèce,1952,19000,18000
Grèce,1953,18500,19000
Grèce,1954,19000,18500
Grèce,1955,17400,19000
Grèce,1956,16000,17400
Grèce,1957,16000,16000
Grèce,1958,15700,16000
Grèce,1959,15500,15700
Grèce,1960,15500,15500
Grèce,1961,15200,15500
Grèce,1962,15700,15200
Grèce,1963,15400,15700
Grèce,1964,16000,15400
Grèce,1965,15560,16000
Grèce,1966,8210,15560
Grèce,1967,7530,8210
Grèce,1968,5320,7530
Grèce,1969,3670,5320
Grèce,1970,3350,3670
Grèce,1971,4300,3350
Grèce,1972,2410,4300
Grèce,1973,2220,2410
Grèce,1974,2130,2220
Grèce,1975,2090,2130
Grèce,1976,2110,2090
Grèce,1977,2200,2110
Grèce,1978,2140,2200
Grèce,1979,3410,2140
Grèce,1980,3410,3410
Grèce,1981,3670,3410
Grèce,1982,3650,3670
Grèce,1983,3810,3650
Grèce,1984,4060,3810
Grèce,1985,4360,4060
Grèce,1986,3280,4360
Grèce,1987,4630,3280
Grèce,1988,8262,4630
Grèce,1989,7490,8262
Grèce,1990,8488,7490
Grèce,1991,8989,8488
Grèce,1992,8456,8989
Grèce,1993,7873,8456
Grèce,1994,7784,7873
Grèce,1995,4428,7784
Grèce,1996,5780,4428
Grèce,1997,5520,5780
Grèce,1998,6145,5520
Grèce,1999,6283,6145
Grèce,2000,9032,6283
Grèce,2001,13197,9032
Grèce,2002,4593,13197
Grèce,2003,10027,4593
Grèce,2004,9864,10027
Grèce,2005,11257,9864
Grèce,2006,15793,11257
Grèce,2007,30691,15793
Grèce,2008,40225,30691
Grèce,2009,49896,40225
Grèce,2010,57168,49896
Grèce,2011,45515,57168
Grèce,2012,38283,45515
Grèce,2013,53315,38283
Grèce,2014,42233,53315
Grèce,2015,50979,42233
Grèce,2016,86413,50979
Grèce,2017,83110,86413
Hongrie,1989,27000,45123
Hongrie,1990,45123,27000
Hongrie,1991,73838,45123
Hongrie,1992,32412,73838
Hongrie,1993,3023,32412
Hongrie,1994,2906,3023
Hongrie,1995,11394,2906
Hongrie,1996,7537,11394
Hongrie,1997,5890,7537
Hongrie,1998,3504,5890
Hongrie,1999,4990,3504
Hongrie,2000,6698,4990
Hongrie,2001,7108,6698
Hongrie,2002,7143,7108
Hongrie,2003,7798,7143
Hongrie,2004,8062,7798
Hongrie,2005,8730,8062
Hongrie,2006,8606,8730
Hongrie,2007,9696,8606
Hongrie,2008,10271,9696
Hongrie,2009,6691,10271
Hongrie,2010,5781,6691
Hongrie,2011,5466,5781
Hongrie,2012,4440,5466
Hongrie,2013,4326,4440
Hongrie,2014,18551,4326
Hongrie,2015,41086,18551
Hongrie,2016,8161,41086
Hongrie,2017,6272,8161
Irlande,1984,500,600
Irlande,1985,600,500
Irlande,1986,600,600
Irlande,1987,540,600
Irlande,1988,480,540
Irlande,1989,420,480
Irlande,1990,360,420
Irlande,1991,300,360
Irlande,1992,500,300
Irlande,1993,119,500
