year,name,value
1957,CIS,3
1958,CIS,2
1958,US,8
1959,CIS,3
1959,US,15
1960,CIS,7
1960,US,24
1961,CIS,12
1961,US,43
1962,CA,1
1962,CIS,39
1962,UK,1
1962,US,78
1963,CIS,33
1963,US,70
1964,CIS,66
1964,IT,1
1964,UK,1
1964,US,90
1965,CA,1
1965,CIS,114
1965,FR,3
1965,ITSO,1
1965,US,130
1966,CIS,89
1966,FR,2
1966,ITSO,1
1966,US,149
1967,AUS,1
1967,CIS,136
1967,FR,4
1967,IT,1
1967,ITSO,3
1967,UK,1
1967,US,124
1968,CIS,148
1968,ESRO,3
1968,ITSO,1
1968,US,90
1969,CA,1
1969,CIS,142
1969,ESRO,1
1969,GER,1
1969,ITSO,3
1969,UK,1
1969,US,89
1970,AUS,1
1970,CIS,175
1970,FR,3
1970,GER,1
1970,ITSO,3
1970,JPN,1
1970,NATO,1
1970,PRC,2
1970,UK,1
1970,US,46
1971,CA,1
1971,CIS,183
1971,FR,4
1971,IT,1
1971,ITSO,2
1971,JPN,4
1971,NATO,1
1971,PRC,2
1971,UK,3
1971,US,68
1972,CA,1
1972,CIS,171
1972,ESRO,3
1972,FR,1
1972,GER,1
1972,ITSO,2
1972,JPN,2
1972,US,62
1973,CA,1
1973,CIS,202
1973,FR,1
1973,ITSO,1
1973,US,49
1974,CIS,187
1974,FGER,1
1974,GER,2
1974,IT,1
1974,ITSO,1
1974,JPN,2
1974,NETH,1
1974,SPN,1
1974,UK,4
1974,US,49
1975,CA,1
1975,CIS,214
1975,ESA,1
1975,FGER,1
1975,FR,8
1975,IND,1
1975,ITSO,2
1975,JPN,4
1975,PRC,6
1975,US,62
1976,CA,1
1976,CIS,236
1976,GER,1
1976,INDO,1
1976,ITSO,1
1976,JPN,2
1976,NATO,1
1976,PRC,4
1976,US,64
1977,CIS,213
1977,ESA,4
1977,FR,1
1977,INDO,1
1977,IT,1
1977,ITSO,1
1977,JPN,6
1977,NATO,1
1977,US,57
1978,CA,1
1978,CIS,221
1978,CZCH,1
1978,ESA,2
1978,ITSO,2
1978,JPN,7
1978,NATO,1
1978,PRC,2
1978,US,74
1979,CIS,210
1979,ESA,2
1979,IND,1
1979,JPN,5
1979,UK,1
1979,US,35
1980,CIS,224
1980,IND,2
1980,ITSO,1
1980,JPN,5
1980,US,30
1981,CIS,250
1981,ESA,7
1981,FR,1
1981,IND,4
1981,ITSO,2
1981,JPN,8
1981,PRC,4
1981,UK,1
1981,US,36
1982,CA,2
1982,CIS,252
1982,IND,1
1982,ITSO,2
1982,JPN,2
1982,PRC,2
1982,US,36
1983,AB,1
1983,ARGN,1
1983,CIS,252
1983,ESA,3
1983,EUTE,1
1983,GER,2
1983,IND,3
1983,INDO,1
1983,ITSO,2
1983,JPN,7
1983,PRC,2
1983,US,55
1984,AB,1
1984,CIS,265
1984,ESA,2
1984,EUTE,1
1984,FR,4
1984,GER,1
1984,INDO,1
1984,ITSO,1
1984,JPN,9
1984,NATO,1
1984,PRC,7
1984,UK,2
1984,US,61
1985,AB,2
1985,ARGN,1
1985,AUS,2
1985,BRAZ,1
1985,CIS,258
1985,ESA,1
1985,FR,4
1985,ITSO,3
1985,JPN,6
1985,MEX,2
1985,PRC,2
1985,US,53
1986,BRAZ,1
1986,CIS,242
1986,FR,3
1986,GER,1
1986,JPN,6
1986,PRC,4
1986,SWED,1
1986,US,16
1987,AUS,1
1987,CIS,249
1987,EUTE,1
1987,FR,1
1987,GER,1
1987,JPN,7
1987,PRC,4
1987,RP,1
1987,US,21
1988,CIS,234
1988,ESA,2
1988,EUTE,1
1988,FR,9
1988,IND,2
1988,ISRA,2
1988,IT,1
1988,JPN,6
1988,NETH,1
1988,PRC,7
1988,SES,1
1988,UK,1
1988,US,31
1989,CIS,207
1989,CZCH,1
1989,ESA,4
1989,FR,7
1989,GER,2
1989,ITSO,2
1989,JPN,8
1989,SWED,2
1989,US,55
1990,AC,1
1990,ARGN,1
1990,BRAZ,1
1990,CIS,210
1990,EUTE,1
1990,FR,7
1990,GER,2
1990,IM,1
1990,IND,1
